Name,Box Office
Iron Man,"$585,171,547"
The incredible Hulk,"$265,573,859"
Iron Man 2,"$621,156,389"
Thor,"$449,326,618"
Captain America: The first Avenger,"$370,569,776"
Marvel's the Avengers,"$1,515,100,211"
Iron Man 3,"$1,215,392,272"
Thor: The dark world,"$644,602,516"
Captain America : The Winter Soldier,"$714,401,889"
Guardians Of the Galaxy,"$770,882,395"
Avengers : Age of Ultron,"$1,395,316,979"
Ant-Man,"$518,858,449"
Captain America: Civil War,"$1,151,918,521"
Doctor Strange,"$676,354,481"
Guardians of the Galaxy Vol. 2,"$869,113,101"
Spider-Man:Homecoming,"$878,346,440"
Thor:Ragnarok,"$850,482,778"
Black Panther,"$1,336,494,321"
Avengers: Infinity War,"$2,048,359,754"
Ant-Man and the Wasp,"$623,144,660"
Captain-Marvel,"$1,129,727,388"
Avengers:Endgame,"$2,797,800,564"
Spider-Man:Far From Home,"$1,132,532,832"
Black Widow,"$379,751,655"
Shang-Chi and the Legend of the Ten Rings,"$432,243,292"
Eternals,"$402,064,929"
Spider-Man: No Way Home,"$1,913,219,277"
Doctor Strange in the Multiverse of Madness,"$952,302,547"
Thor: Love and Thunder,"$749,543,955"
